,loss
0,30.42379435484619
1,19.426238115119663
2,15.96434967845179
3,13.813149182296973
4,12.352644622318156
5,11.260578195032075
6,10.493665816582926
7,9.923398714217912
8,9.478450213644253
9,9.1209593016167
10,8.77728520041705
11,8.512031049724678
12,8.298570562266796
13,8.112039828210671
14,7.950101210585134
15,7.783807759099788
16,7.618243411882061
17,7.50207057620414
18,7.402057323289825
19,7.300544428475446
20,28.84642546535204
21,18.250426793844767
22,14.832641586450373
23,12.763261991129989
24,11.368970370413436
25,28.866452318799233
26,18.244724000176912
27,14.756552031170564
28,12.707168508000244
29,11.35739000928388
30,28.82081208982813
31,18.213596500937296
32,14.698726874045667
33,12.65139724130924
34,11.331021839185944
35,28.83004333465374
36,18.14224044476752
37,14.727261755463054
38,12.691401060099167
39,11.314228261998913
40,28.721533337697252
41,18.159705331502355
42,14.774819601757338
43,12.718375557412543
44,11.342722019354605
45,28.81037696762075
46,18.12704101477773
47,14.731530703450352
48,12.718163016493065
49,11.349180361902208
50,28.83894169078212
51,18.262219016777106
52,14.899991633753014
53,12.830068030346832
54,11.432642606345535
55,28.859707690257657
56,18.092265875777077
57,14.674027237184234
58,12.698366234776014
59,11.38129869444461
60,28.779251977365842
61,18.052363273802943
62,14.693354188072044
63,12.708993555493349
64,11.334683452709756
