,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa,rank
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)NC3CCC3)cc2)CCN1,15,0,3,4,1,18,7,0,0,1,0,2,0.0894,83.31570000000004,0.835815828536,2.09331188835845,-7.8,95.58,0
103,O=C(c1cccc2cccnc12)N1CCN(S(=O)(=O)c2ccccc2)CC1,20,0,3,3,1,19,11,0,0,0,0,4,2.3815,102.84730000000002,0.698836211891,1.9527312872818088,-8.6,70.58000000000001,0
102,NC(=O)c1cc(NC(=O)C=CC(=O)[O-])ccc1N1CCOCC1,15,0,3,5,0,17,7,0,0,0,0,2,-1.1333,80.76860000000002,0.696830459551,2.6105890518199875,-7.0,124.79,0
101,O=C(Cc1cccnc1)NNC(=O)NCc1cn(-c2ccccc2)nn1,17,0,7,2,0,18,10,0,0,0,1,2,0.7354,92.8141,0.596674588315,2.302611675698479,-8.5,113.83,0
100,CC(=O)Nc1ccc(NC(=O)CNc2ccc3ccccc3c2)cc1,20,0,3,2,0,17,10,0,0,0,0,3,3.8488,101.8131,0.643080419519,1.7247223900227944,-8.3,70.23,0
99,NC(=O)C1CCN(C(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)CC1,18,0,4,4,0,21,7,0,0,0,0,3,0.1939,96.56110000000004,0.8130388908409999,2.174608625396221,-8.1,118.26,0
98,O=C(c1ccc(=O)n(Cc2ccccc2)n1)N1CCN(S(=O)(=O)c2ccccc2F)CC1,22,1,4,4,1,23,12,0,0,0,0,4,1.5774,115.10330000000005,0.5865544581000001,2.187106628279284,-9.2,92.58,0
97,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NNC(=O)c2cc(-c3ccccc3)nc3ccccc23)c1,27,0,5,4,0,24,15,0,0,0,0,4,3.8934,137.16079999999985,0.310974731115,2.2169634443049304,-9.7,129.29000000000002,0
96,O=C(CN1C(=O)NC(CC2=c3ccccc3=[NH+]C2)C1=O)NCc1cccc(Cl)c1,21,0,4,3,1,22,10,0,0,0,2,2,-1.1686,105.9811,0.551204076546,3.6640152584276087,-8.7,92.48,0
95,Cc1cccc(N=C(NC(=[NH2+])NC(=O)c2ccccc2)Nc2nc(C)cc(C)n2)c1,22,0,7,1,0,20,12,0,0,0,0,3,1.63616,117.37900000000002,0.395817249794,2.9346675169010883,-9.7,116.89,0
94,NS(=O)(=O)c1ccc(C(=O)N2CCCCCCC2)cc1,14,0,2,3,1,15,6,0,0,0,0,1,1.7403,76.80370000000003,0.909165013676,1.7042973887980324,-7.6,80.47,0
93,NC(=O)c1ccc(NC(=O)Cc2ccc(F)c(F)c2)c(F)c1,15,3,2,2,0,15,8,0,0,0,0,2,2.384,73.6096,0.910476950041,1.8584472033406008,-8.6,72.19,0
92,OCCOc1ccccc1,8,0,0,2,0,7,3,0,0,0,0,1,1.0577,39.02280000000002,0.6762728590662828,1.3198693666755137,-5.3,29.46,0
91,CCc1nn(C)cc1C(=O)N(CC(N)=O)CC(N)=O,11,0,5,3,0,14,5,0,0,0,1,0,-1.6047,66.87830000000001,0.682034864007,2.713382789678364,-6.8,124.31,0
90,O=C([O-])C1CN(S(=O)(=O)c2ccc3c(c2)OCCCO3)CC[NH2+]1,14,0,2,6,1,19,6,0,0,0,0,2,-2.4659,76.39520000000005,0.6889551965549999,3.9292326663784,-8.1,112.58,0
89,Cc1cccc(N2CCN(C(=O)Cc3ccccc3F)CC2)c1,19,1,2,1,0,18,7,0,0,0,0,3,3.02542,90.07600000000004,0.860114780553,1.7951824303164905,-8.3,23.55,0
88,O=C(C1=CC2=CC=NC2C=C1)N1CCCC(CN2CC(CCO)N[NH2+]2)C1,19,0,5,2,0,24,5,0,0,0,2,2,-0.8498,99.01490000000004,0.585649440428,5.127259113083754,-9.6,84.78,0
87,NC(=O)NCc1ccc(C(=O)Nc2nnc(Cc3ccccc3)s2)cc1,18,0,5,2,1,18,10,0,0,0,1,2,2.5495,99.9753,0.620473543066,2.004135335617507,-8.7,110.0,0
73,O=C(c1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,21,1,2,3,1,20,11,0,0,0,0,4,3.1256,105.01030000000004,0.672218559693,1.9074406215857405,-9.6,57.690000000000005,0
74,Cc1ccc(-n2nc(C(=O)NCC3CCCO3)c(=O)n(Cc3ccccc3F)c2=O)cc1,23,1,4,4,0,25,10,0,0,0,1,3,1.79882,115.64020000000002,0.637837929423,2.7806977803482624,-9.3,95.22,0
75,Cc1cc(C(=O)N2CCN(C(=O)Cn3ccccc3=O)CC2)c(C)o1,18,0,3,4,0,20,7,0,0,0,1,2,1.04274,91.36750000000004,0.845937440369,2.256538269143673,-8.4,75.76,0
76,Nc1ccc2c(c1)CN(c1ccc3n[nH]c(=O)n3n1)CC2,14,0,6,1,0,17,7,0,0,0,1,3,0.5625,79.21610000000001,0.648565862397,2.628337189158525,-8.8,92.31,0
77,Cc1ccc(N2CCN(c3ccc(C)cc3)CC2)cc1,18,0,2,0,0,16,6,0,0,0,0,3,3.63004,86.78400000000005,0.797500056022,1.4205570670123429,-7.0,6.48,0
78,NC(=O)CC(NC(=O)c1ccc(CO)cc1)C(=O)[O-],12,0,2,5,0,13,6,0,0,0,0,1,-2.0974,62.43740000000002,0.575216017632,2.7729266750773607,-7.4,132.55,0
104,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,20,0,7,7,0,26,10,0,0,0,0,3,-0.7310999999999974,120.78230000000003,0.2131314822985315,3.6663309802999953,-8.8,219.84,0
79,O=C(NCCO)c1ccccc1O,9,0,1,3,0,9,4,0,0,0,0,1,0.1143,47.525800000000025,0.636163410561,1.6451012884703662,-6.3,69.56,0
81,Cc1cccc(C(=O)NC2CCN(C(=O)Nc3ccccc3)CC2)c1,20,0,3,2,0,19,8,0,0,0,0,3,3.42132,98.70090000000005,0.882918032041,1.7584050823304889,-8.5,61.440000000000005,0
82,NC(=O)COC(=O)CNC(=O)c1ccc(Cl)cc1Cl,11,0,2,4,2,13,6,0,0,0,0,1,0.7517,68.94860000000001,0.797458711532,1.913736726329948,-7.3,98.49,0
83,O=C(CC1=c2ccccc2=[NH+]C1)N1CCN(c2ccc(-c3noc(C4CC4)n3)cc2)CC1,25,0,5,2,0,27,10,0,1,0,2,3,0.2174,119.15170000000003,0.644777346604,3.174834573819832,-9.3,76.44,0
84,COCC(=O)Nc1ccc(C)c(C(N)=O)c1,11,0,2,3,0,11,5,0,0,0,0,1,0.67882,60.20260000000002,0.799434307842,1.740443287512912,-6.5,81.41999999999999,0
85,O=C([O-])CCCC(=O)N1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1,17,0,3,3,0,19,6,0,0,0,1,2,-4.4145,77.77340000000004,0.548712761813,4.114914598148659,-7.6,88.38,0
86,CC(=O)N1CC(C(=O)Nc2ccccc2)C1,12,0,2,2,0,12,5,0,0,1,0,1,1.1034,60.81570000000004,0.8184084331039999,1.6576656082154653,-7.1,49.41,0
80,Cc1ccccc1NC(=O)c1ccc(N(C)C)cc1,16,0,2,1,0,13,7,0,0,0,0,2,3.31332,79.90120000000005,0.894857447979,1.478731962392441,-6.7,32.34,0
105,C=CCN1C(=O)c2ccc(C(=O)Nc3ccc(S(=O)(=O)NC4=[NH+]CCC4)cc3)cc2C1=O,22,0,4,5,1,22,13,0,0,0,2,2,0.2721,116.79340000000003,0.437771989981,3.0737878962420915,-8.8,126.62,0
106,NC(=O)C1CCN(C(=O)c2ccc3c(c2)OCO3)CC1,14,0,2,4,0,17,5,0,0,0,1,2,0.7528,70.38690000000004,0.8784725692470001,1.9474283459987247,-7.7,81.86000000000001,0
107,O=C(NCCNC(=O)c1ccccc1)Nc1ccccc1,16,0,3,2,0,14,8,0,0,0,0,2,2.2381,82.23860000000003,0.738258769288,1.488235802021073,-7.6,70.23,0
126,COc1ccc(C(=O)NCc2ccccc2)cc1OC,16,0,1,3,0,14,7,0,0,0,0,2,2.633800000000001,77.15820000000004,0.90904471270419,1.3881943379015595,-6.0,47.56,0
127,NC(=O)c1ccc(NC(=O)CNC(=O)C2CC2)cc1,13,0,3,3,0,14,6,0,1,0,0,1,0.2501999999999991,69.32330000000002,0.7076972301177769,1.6365125529919737,-6.3,101.28999999999999,0
128,COc1ccc(CNC(=O)c2ccc(C)cc2)cc1,16,0,1,2,0,13,7,0,0,0,0,2,2.9336200000000012,75.34320000000004,0.9118351229140369,1.332713046088621,-6.3,38.33,0
129,NC(=O)CCNC(=O)NCc1ccc(F)c(CNC(=O)c2ccccc2)c1,19,1,4,3,0,19,9,0,0,0,0,2,1.4302999999999995,98.062,0.5620377093771216,1.9777723181133258,-7.8,113.32,0
130,COCCNC(=O)c1ccc(C(=O)OC)cc1,12,0,1,4,0,12,5,0,0,0,0,1,0.8493999999999995,61.99070000000003,0.6087711540361033,1.5142780384690333,-5.5,64.63,0
132,Cn1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3cccc(C(=O)[O-])c3)CC2)c1,16,0,3,6,2,19,10,0,0,0,1,2,-0.9161999999999983,93.70310000000003,0.6266726571709428,2.710186044998105,-7.6,119.82,0
125,O=C([O-])CCNCC(=O)OCC(=O)N1CCOc2ccccc21,15,0,2,6,0,18,6,0,0,0,0,2,-1.3151999999999968,77.74270000000004,0.49022815868151176,2.694908767056674,-6.4,108.0,0
133,CN(CC(=O)[O-])C(=O)c1ccc(S(=O)(=O)N2CCC2)cc1,13,0,2,5,1,15,7,0,0,1,0,1,-1.0970999999999984,71.78530000000003,0.6875139239341777,2.3509664226299716,-5.5,97.82000000000001,0
135,Cc1ccc(CC(=O)NCc2ccc(F)cc2)cc1,16,1,1,1,0,13,7,0,0,0,0,2,2.9930200000000013,73.12970000000004,0.895972607820903,1.456192533268105,-6.4,29.1,0
136,COc1ccc(-c2ccc(Cl)cc2)cc1,13,0,0,1,1,10,6,0,0,0,0,2,4.015600000000003,63.44000000000003,0.7400817759334066,1.2158297198772612,-5.9,9.23,0
137,O=C(Nc1ccccc1)c1cccc(F)c1,13,1,1,1,0,10,7,0,0,0,0,2,3.078000000000001,60.79520000000002,0.819024741146282,1.2534839268533489,-6.4,29.1,0
138,O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc(Cl)cc1,15,1,2,2,1,14,8,0,0,0,0,2,2.847600000000001,78.81490000000002,0.9122970259017902,1.4834915995716749,-6.5,58.2,0
139,O=C(NCCc1ccccc1)C(=O)Nc1ccc(F)cc1,16,1,2,2,0,14,8,0,0,0,0,2,2.123099999999999,78.18540000000003,0.8458678054796548,1.5713951588937078,-6.7,58.2,0
140,COC(=O)CCNC(=O)c1cccc(S(N)(=O)=O)c1,11,0,2,5,1,12,7,0,0,0,0,1,-0.37309999999999927,66.78140000000003,0.7162101821493989,1.806412744429494,-6.0,115.56,0
134,O=S(=O)(c1ccccc1)N1CCOCC1,10,0,1,3,1,11,5,0,0,0,0,2,0.7075000000000001,56.01980000000003,0.7471532528300178,1.5981638880346853,-5.4,46.61,0
72,NS(=O)(=O)c1cccc(NC(=O)c2nn(Cc3ccccc3)c(=O)c3ccccc23)c1,22,0,4,4,1,20,14,0,0,0,0,4,2.3445,117.31540000000004,0.499437347963,2.050206675630367,-9.1,124.14999999999998,0
124,COC(=O)CCC(=O)NCCCO,8,0,1,4,0,10,2,0,0,0,0,0,-0.5618000000000001,45.96250000000002,0.43349252734043625,1.8421434862725619,-5.3,75.63000000000001,0
122,CN(C)S(=O)(=O)c1cccc(C(=O)N2CCCC(C3[NH+]=c4ccccc4=[NH+]3)C2)c1,21,0,4,3,1,22,10,0,0,0,1,3,-2.7705999999999937,105.55370000000005,0.5681210025462622,3.8911524202079395,-8.0,85.63000000000001,0
108,COc1ccc(CC(=O)Nc2ccc(C(=O)N3CCCCC3)cc2)cc1,21,0,2,3,0,20,8,0,0,0,0,3,3.5025,101.52420000000002,0.875656088081,1.6717833356175067,-8.2,58.64,0
109,CCNC(=O)N1CCN2NC(C3[NH+]=c4ccc(OC)cc4=[NH+]3)=CC2C1,17,0,6,2,0,22,6,0,0,0,2,2,-4.4469,88.52180000000004,0.424620784801,5.081176819634637,-7.5,84.78,0
110,O=C(Cn1c(=O)[nH]c2ccccc2c1=O)Nc1ccccc1,16,0,3,3,0,15,9,0,0,0,0,3,1.3285,83.9004,0.7727254286499999,1.737220060483459,-7.5,83.96000000000001,0
111,O=C1NC(=O)C(=Cc2ccc(OC(=O)c3cccc4ccccc34)cc2)C(=O)N1,22,0,2,5,0,19,13,0,0,0,0,4,2.8084,105.00690000000002,0.309940262784,2.2364002319938847,-9.9,101.57,0
112,O=C1NC(CC2=c3ccccc3=[NH+]C2)C(=O)N1Cc1nc(-c2ccc(F)cc2)no1,21,1,5,3,0,23,11,0,0,0,3,2,-0.7491,101.2114,0.5677385015399999,3.7710519047185582,-8.9,102.3,0
113,O=C(CCC1=c2ccccc2=[NH+]C1)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,22,0,3,3,1,22,10,0,0,0,1,3,0.1446,110.94820000000006,0.727058589775,2.993815470971775,-8.4,80.45,0
123,NC(=O)CNC(=O)CNC(=O)C1CCCN(S(=O)(=O)N2CCCCC2)C1,15,0,5,5,1,22,5,0,0,0,0,2,-1.8531999999999953,93.85460000000005,0.4683580005759346,2.77165179115225,-6.5,141.91,0
114,COc1cccc2cc(C(=O)N3CCN(c4c(C)nn(-c5ccccn5)c4C)CC3)c(=O)oc12,25,0,5,4,0,27,11,0,0,0,1,4,2.9615400000000003,127.98550000000004,0.429127375666,2.60313065626124,-10.7,93.7,0
