,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa,rank
0,NS(=O)(=O)c1ccc(CCNC(=O)NCC2CC2)cc1,13,0,3,3,1,15,6,0,1,0,0,1,0.5857,75.64460000000003,0.729320442677,1.9210629282585696,-7.3,101.29,0
102,O=C(NCCO)c1ccccc1C(=O)c1ccccc1,16,0,1,3,0,13,8,0,0,0,0,2,1.6397,75.73550000000003,0.817747883424,1.6328534472133,-6.8,66.4,0
103,COCC[NH2+]CC(=O)N1CCOCC1C(=O)[O-],10,0,2,5,0,15,2,0,0,0,0,1,-3.8265,54.86240000000003,0.482234627983,4.5465035316469855,-5.6,95.51,0
104,O=C([O-])CNS(=O)(=O)c1ccc2[nH]c(=O)cnc2c1,10,0,3,5,1,12,8,0,0,0,0,2,-2.0487,62.55920000000001,0.704166030001,2.8235220204475944,-8.0,132.04999999999995,0
105,O=C(CCc1ccccc1O)Nc1ccc(C(=O)NCc2ccccc2)cc1,23,0,2,3,0,19,11,0,0,0,0,3,3.8935,109.1117,0.567748324368,1.7340160916712095,-8.6,78.43,0
106,COCCOc1ccc(S(=O)(=O)N2CCN(C(C)=O)CC2)cc1,15,0,2,5,1,18,6,0,0,0,0,2,0.5646,84.82580000000004,0.72003949839,1.8903034748969103,-6.7,76.15,0
107,Cn1cnnc1CCNC(=O)CCCO,9,0,4,2,0,12,3,0,0,0,1,0,-0.7537,54.03650000000003,0.6790485424770001,2.339925426496224,-5.1,80.04,0
108,O=C(Nc1ccccc1)Nc1ccccc1Cl,13,0,2,1,1,11,7,0,0,0,0,2,3.984,70.53540000000002,0.797875017056,1.3458684656710105,-7.2,41.13,0
101,Cc1ccc(NC(=O)C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1,16,0,3,4,1,15,10,0,0,0,0,2,0.8973200000000001,89.47060000000002,0.722762199428,1.7953314053886196,-8.1,118.36,0
109,O=C1C(=CC2[NH+]=c3ccccc3=[NH+]2)C([O-])=NC(=S)N1C1CCCCC1,18,0,4,2,1,20,8,0,0,0,1,3,-3.4283,91.44640000000004,0.436524433063,4.428326236176644,-7.9,83.66999999999999,0
111,Cc1ccccc1CC(=O)Nc1ccc(OC(C)C)cc1,18,0,1,2,0,15,7,0,0,0,0,2,3.96342,85.71870000000006,0.870495871973,1.6274587442913602,-7.8,38.33,0
112,OCC(O)C(O)C(O)C(O)CO,6,0,0,6,0,11,0,0,0,0,0,0,-3.5854000000000004,38.198800000000006,0.2612626527203185,3.557602921803351,-5.3,121.38,0
