,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa,rank
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)NC3CCC3)cc2)CCN1,15,0,3,4,1,18,7,0,0,1,0,2,0.0894,83.31570000000004,0.835815828536,2.09331188835845,-7.8,95.58,0
100,CC(=O)Nc1ccc(NC(=O)CNc2ccc3ccccc3c2)cc1,20,0,3,2,0,17,10,0,0,0,0,3,3.8488,101.8131,0.643080419519,1.7247223900227944,-8.3,70.23,0
99,NC(=O)C1CCN(C(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)CC1,18,0,4,4,0,21,7,0,0,0,0,3,0.1939,96.56110000000004,0.8130388908409999,2.174608625396221,-8.1,118.26,0
98,O=C(c1ccc(=O)n(Cc2ccccc2)n1)N1CCN(S(=O)(=O)c2ccccc2F)CC1,22,1,4,4,1,23,12,0,0,0,0,4,1.5774,115.10330000000005,0.5865544581000001,2.187106628279284,-9.2,92.58,0
97,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NNC(=O)c2cc(-c3ccccc3)nc3ccccc23)c1,27,0,5,4,0,24,15,0,0,0,0,4,3.8934,137.16079999999985,0.310974731115,2.2169634443049304,-9.7,129.29000000000002,0
96,O=C(CN1C(=O)NC(CC2=c3ccccc3=[NH+]C2)C1=O)NCc1cccc(Cl)c1,21,0,4,3,1,22,10,0,0,0,2,2,-1.1686,105.9811,0.551204076546,3.6640152584276087,-8.7,92.48,0
95,Cc1cccc(N=C(NC(=[NH2+])NC(=O)c2ccccc2)Nc2nc(C)cc(C)n2)c1,22,0,7,1,0,20,12,0,0,0,0,3,1.63616,117.37900000000002,0.395817249794,2.9346675169010883,-9.7,116.89,0
94,NS(=O)(=O)c1ccc(C(=O)N2CCCCCCC2)cc1,14,0,2,3,1,15,6,0,0,0,0,1,1.7403,76.80370000000003,0.909165013676,1.7042973887980324,-7.6,80.47,0
93,NC(=O)c1ccc(NC(=O)Cc2ccc(F)c(F)c2)c(F)c1,15,3,2,2,0,15,8,0,0,0,0,2,2.384,73.6096,0.910476950041,1.8584472033406008,-8.6,72.19,0
92,OCCOc1ccccc1,8,0,0,2,0,7,3,0,0,0,0,1,1.0577,39.02280000000002,0.6762728590662828,1.3198693666755137,-5.3,29.46,0
