,smiles,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,score,tpsa,rank
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)NC3CCC3)cc2)CCN1,15,0,3,4,1,18,7,0,0,1,0,2,0.0894,83.31570000000004,0.835815828536,2.09331188835845,-7.8,95.58,0
96,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)NNC(=O)c2cc(-c3ccccc3)nc3ccccc23)c1,27,0,5,4,0,24,15,0,0,0,0,4,3.8934,137.16079999999985,0.310974731115,2.2169634443049304,-9.7,129.29000000000002,0
95,O=C(CN1C(=O)NC(CC2=c3ccccc3=[NH+]C2)C1=O)NCc1cccc(Cl)c1,21,0,4,3,1,22,10,0,0,0,2,2,-1.1686,105.9811,0.551204076546,3.6640152584276087,-8.7,92.48,0
94,Cc1cccc(N=C(NC(=[NH2+])NC(=O)c2ccccc2)Nc2nc(C)cc(C)n2)c1,22,0,7,1,0,20,12,0,0,0,0,3,1.63616,117.37900000000002,0.395817249794,2.9346675169010883,-9.7,116.89,0
93,NS(=O)(=O)c1ccc(C(=O)N2CCCCCCC2)cc1,14,0,2,3,1,15,6,0,0,0,0,1,1.7403,76.80370000000003,0.909165013676,1.7042973887980324,-7.6,80.47,0
92,NC(=O)c1ccc(NC(=O)Cc2ccc(F)c(F)c2)c(F)c1,15,3,2,2,0,15,8,0,0,0,0,2,2.384,73.6096,0.910476950041,1.8584472033406008,-8.6,72.19,0
91,OCCOc1ccccc1,8,0,0,2,0,7,3,0,0,0,0,1,1.0577,39.02280000000002,0.6762728590662828,1.3198693666755137,-5.3,29.46,0
90,CCc1nn(C)cc1C(=O)N(CC(N)=O)CC(N)=O,11,0,5,3,0,14,5,0,0,0,1,0,-1.6047,66.87830000000001,0.682034864007,2.713382789678364,-6.8,124.31,0
89,O=C([O-])C1CN(S(=O)(=O)c2ccc3c(c2)OCCCO3)CC[NH2+]1,14,0,2,6,1,19,6,0,0,0,0,2,-2.4659,76.39520000000005,0.6889551965549999,3.9292326663784,-8.1,112.58,0
88,Cc1cccc(N2CCN(C(=O)Cc3ccccc3F)CC2)c1,19,1,2,1,0,18,7,0,0,0,0,3,3.02542,90.07600000000004,0.860114780553,1.7951824303164905,-8.3,23.55,0
87,O=C(C1=CC2=CC=NC2C=C1)N1CCCC(CN2CC(CCO)N[NH2+]2)C1,19,0,5,2,0,24,5,0,0,0,2,2,-0.8498,99.01490000000004,0.585649440428,5.127259113083754,-9.6,84.78,0
86,NC(=O)NCc1ccc(C(=O)Nc2nnc(Cc3ccccc3)s2)cc1,18,0,5,2,1,18,10,0,0,0,1,2,2.5495,99.9753,0.620473543066,2.004135335617507,-8.7,110.0,0
85,CC(=O)N1CC(C(=O)Nc2ccccc2)C1,12,0,2,2,0,12,5,0,0,1,0,1,1.1034,60.81570000000004,0.8184084331039999,1.6576656082154653,-7.1,49.41,0
84,O=C([O-])CCCC(=O)N1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1,17,0,3,3,0,19,6,0,0,0,1,2,-4.4145,77.77340000000004,0.548712761813,4.114914598148659,-7.6,88.38,0
83,COCC(=O)Nc1ccc(C)c(C(N)=O)c1,11,0,2,3,0,11,5,0,0,0,0,1,0.67882,60.20260000000002,0.799434307842,1.740443287512912,-6.5,81.41999999999999,0
82,O=C(CC1=c2ccccc2=[NH+]C1)N1CCN(c2ccc(-c3noc(C4CC4)n3)cc2)CC1,25,0,5,2,0,27,10,0,1,0,2,3,0.2174,119.15170000000003,0.644777346604,3.174834573819832,-9.3,76.44,0
81,NC(=O)COC(=O)CNC(=O)c1ccc(Cl)cc1Cl,11,0,2,4,2,13,6,0,0,0,0,1,0.7517,68.94860000000001,0.797458711532,1.913736726329948,-7.3,98.49,0
80,Cc1cccc(C(=O)NC2CCN(C(=O)Nc3ccccc3)CC2)c1,20,0,3,2,0,19,8,0,0,0,0,3,3.42132,98.70090000000005,0.882918032041,1.7584050823304889,-8.5,61.440000000000005,0
79,O=C(NCCO)c1ccccc1O,9,0,1,3,0,9,4,0,0,0,0,1,0.1143,47.525800000000025,0.636163410561,1.6451012884703662,-6.3,69.56,0
78,NC(=O)CC(NC(=O)c1ccc(CO)cc1)C(=O)[O-],12,0,2,5,0,13,6,0,0,0,0,1,-2.0974,62.43740000000002,0.575216017632,2.7729266750773607,-7.4,132.55,0
77,Cc1ccc(N2CCN(c3ccc(C)cc3)CC2)cc1,18,0,2,0,0,16,6,0,0,0,0,3,3.63004,86.78400000000005,0.797500056022,1.4205570670123429,-7.0,6.48,0
76,Nc1ccc2c(c1)CN(c1ccc3n[nH]c(=O)n3n1)CC2,14,0,6,1,0,17,7,0,0,0,1,3,0.5625,79.21610000000001,0.648565862397,2.628337189158525,-8.8,92.31,0
75,Cc1cc(C(=O)N2CCN(C(=O)Cn3ccccc3=O)CC2)c(C)o1,18,0,3,4,0,20,7,0,0,0,1,2,1.04274,91.36750000000004,0.845937440369,2.256538269143673,-8.4,75.76,0
74,Cc1ccc(-n2nc(C(=O)NCC3CCCO3)c(=O)n(Cc3ccccc3F)c2=O)cc1,23,1,4,4,0,25,10,0,0,0,1,3,1.79882,115.64020000000002,0.637837929423,2.7806977803482624,-9.3,95.22,0
73,O=C(c1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,21,1,2,3,1,20,11,0,0,0,0,4,3.1256,105.01030000000004,0.672218559693,1.9074406215857405,-9.6,57.690000000000005,0
72,NS(=O)(=O)c1cccc(NC(=O)c2nn(Cc3ccccc3)c(=O)c3ccccc23)c1,22,0,4,4,1,20,14,0,0,0,0,4,2.3445,117.31540000000004,0.499437347963,2.050206675630367,-9.1,124.14999999999998,0
71,CC1(C(=O)Nc2nc(C3=c4ccccc4=[NH+]C3)cs2)Cc2ccccc2C(=O)O1,22,0,3,3,1,22,11,0,0,0,2,3,0.1662,107.8449,0.6255371070979999,3.8557141462867386,-9.0,82.26,0
70,NS(=O)(=O)c1ccc(CNC(=O)CCc2cccc(F)c2)cc1,16,1,2,3,1,15,9,0,0,0,0,2,1.7221,84.38290000000002,0.848119987581,1.7854404941276822,-8.0,89.25999999999999,0
